classe,term,weight
saudacao,oieee,1.3050324424807496
saudacao,boa tarde,1.2762672196061515
saudacao,tudo,1.2377407418578046
saudacao,bom,1.0987773517821386
tamanho_modelagem,tamanho,3.048851757603507
tamanho_modelagem,medidas,1.4703218082267098
tamanho_modelagem,quadril,1.4242170826881737
tamanho_modelagem,numeração,1.2877011187419118
tamanho_modelagem,42,1.2205897242698016
tamanho_modelagem,calça,1.1699318325445267
tamanho_modelagem,ficou,0.9767687468754509
tamanho_modelagem,36,0.9481199493986991
tamanho_modelagem,visto,0.9144982754447268
tamanho_modelagem,as,0.8451045128271588
tamanho_modelagem,38,0.8424933286387649
tamanho_modelagem,fica,0.804283528255693
troca_devolucao_politica,trocar,3.3839788834081297
troca_devolucao_politica,troca,2.9849205481806935
troca_devolucao_politica,ficou,1.8588506765552184
troca_devolucao_politica,grande,1.8223772012927488
troca_devolucao_politica,como,1.7877896433756009
troca_devolucao_politica,proceder,1.561748414020248
troca_devolucao_politica,posso trocar,1.3745772231812103
troca_devolucao_politica,caso,1.3643779366475697
troca_devolucao_politica,não,1.2703820317929917
troca_devolucao_politica,vou,1.1169963911286303
troca_devolucao_politica,processo,1.1026688036226429
troca_devolucao_politica,nem,1.0979953915507998
